,Location,Stake,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Ward/Branch.1,Routes Completed,Doors in Route,Time Spent,Did you complete more than 1 route?
376,Gateway Stake Centre,Gateway Stake,2,2,37,140,Crawford Plains Ward,3,321,140,No
377,Riverbend Stake Centre,Riverbend Stake,4,0,56,120,Rabbit Hill Ward,2,200,103,No
378,Riverbend Stake Centre,Riverbend Stake,2,0,35,90,Rutherford Ward,2,240,75,No
379,North Stake Centre,Edmonton North Stake,1,3,22,40,Namao Ward,1,172,40,No
380,Gateway Stake Centre,Gateway Stake,2,5,39,45,Ellerslie Ward,2,466,45,No
381,Bearspaw Chapel,Gateway Stake,1,0,18,120,Lee Ridge Ward,2,40,120,No
382,Bearspaw Chapel,Gateway Stake,3,0,22,1.5,Lee Ridge Ward,2,158,180,No
383,Bearspaw Chapel,Gateway Stake,1,4,41,25,Blackmud Creek Ward,1,260,70,No
384,Riverbend Stake Centre,Riverbend Stake,1,0,25,80,Rabbit Hill Ward,2,273,-615,No
385,Londonderry Chapel,Bonnie Doon Stake,2,0,1,30,Clareview Ward,1,100,754,No
386,Gateway Stake Centre,Gateway Stake,1,2,10,30,Ellerslie Ward,1,205,750,No
387,Bearspaw Chapel,Gateway Stake,2,3,42,30,Blackmud Creek Ward,1,95,53,No
388,Gateway Stake Centre,Gateway Stake,2,5,25,45,Ellerslie Ward,1,200,45,No
389,North Stake Centre,Edmonton North Stake,2,0,70,150,Griesbach Ward,3,400,120,No
390,North Stake Centre,Edmonton North Stake,2,0,69,150,Griesbach Ward,3,400,145,No
391,Bearspaw Chapel,Gateway Stake,33,4,19,20,Blackmud Creek Ward,2,109,20,No
392,Bearspaw Chapel,Gateway Stake,1,4,12,20,Blackmud Creek Ward,2,178,20,No
393,North Stake Centre,Edmonton North Stake,2,0,45,170,Namao Ward,1,316,165,No
394,North Stake Centre,Edmonton North Stake,1,0,17,15,Griesbach Ward,1,140,15,No
395,North Stake Centre,Edmonton North Stake,1,4,24,40,Namao Ward,1,211,-680,No
396,Gateway Stake Centre,Gateway Stake,1,3,77,120,Silver Berry Ward,2,472,120,No
397,Gateway Stake Centre,Gateway Stake,1,1,14,45,Silver Berry Ward,1,150,45,No
398,Gateway Stake Centre,Gateway Stake,2,2,124,165,Crawford Plains Ward,6,759,165,No
399,Riverbend Stake Centre,Riverbend Stake,2,3,25,45,Woodbend Ward,1,155,75,No
400,Bearspaw Chapel,Gateway Stake,1,2,15,45,Lee Ridge Ward,2,162,110,No
401,Gateway Stake Centre,Gateway Stake,5,8,33,80,Rio Vista Ward,3,397,80,No
402,Gateway Stake Centre,Gateway Stake,2,1,50,135,Ellerslie Ward,2,419,135,No
403,Bearspaw Chapel,Gateway Stake,1,2,25,45,Lee Ridge Ward,1,160,120,No
404,Gateway Stake Centre,Gateway Stake,1,1,12,60,Crawford Plains Ward,1,92,60,No
405,Gateway Stake Centre,Gateway Stake,2,2,20,60,Ellerslie Ward,1,197,60,No
406,Bearspaw Chapel,Gateway Stake,2,1,14,75,Lee Ridge Ward,1,147,90,No
407,Bearspaw Chapel,Gateway Stake,1,4,13,35,Blackmud Creek Ward,1,177,40,No
408,Bearspaw Chapel,Gateway Stake,3,2,68,112,Lee Ridge Ward,3,466,-575,No
409,Bearspaw Chapel,Bonnie Doon Stake,5,3,555,90,Southgate Ward,3,200,90,No
410,Bearspaw Chapel,Bonnie Doon Stake,1,0,17,30,Southgate Ward,1,13,35,No
411,Bearspaw Chapel,Gateway Stake,2,0,19,45,Blackmud Creek Ward,1,100,220,No
412,Bearspaw Chapel,Gateway Stake,2,2,32,60,Blackmud Creek Ward,1,174,-645,No
