,Location,Stake,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Ward/Branch.1,Routes Completed,Doors in Route,Time Spent,Did you complete more than 1 route?
77,Londonderry Chapel,Bonnie Doon Stake,2,0,34,60,Clareview Ward,2,32,-32.88349515,No
78,Bearspaw Chapel,Gateway Stake,2,3,37,30,Lee Ridge Ward,2,144,30,No
79,Gateway Stake Centre,Gateway Stake,2,0,26,35,Ellerslie Ward,1,220,35,No
80,Londonderry Chapel,Bonnie Doon Stake,2,0,9,45,Clareview Ward,1,0,-32.88349515,No
81,Gateway Stake Centre,Gateway Stake,2,0,11,15,Ellerslie Ward,1,165,15,No
82,Bearspaw Chapel,Gateway Stake,1,7,6,60,Wild Rose Ward,2,315,60,No
83,Londonderry Chapel,Bonnie Doon Stake,2,2,43,60,Londonderry Ward,2,300,55,No
84,Londonderry Chapel,Bonnie Doon Stake,2,1,35,60,Londonderry Ward,2,250,57,No
85,Bearspaw Chapel,Gateway Stake,2,0,8,60,Lee Ridge Ward,1,162,60,No
86,Coronation Park Chapel,Bonnie Doon Stake,1,1,38,90,Coronation Park Ward,2,300,-32.88349515,No
87,Riverbend Stake Centre,Riverbend Stake,1,3,10,30,Woodbend Ward,1,10,30,No
88,Gateway Stake Centre,Gateway Stake,2,3,20,50,Ellerslie Ward,1,219,50,No
89,Riverbend Stake Centre,Riverbend Stake,3,0,60,90,Terwillegar Park Ward,1,250,90,No
90,Londonderry Chapel,Bonnie Doon Stake,1,2,6,45,Clareview Ward,1,150,-32.88349515,No
91,Londonderry Chapel,Bonnie Doon Stake,2,0,45,75,Londonderry Ward,1,300,75,No
92,Gateway Stake Centre,Gateway Stake,2,0,24,40,Silver Berry Ward,1,167,50,No
93,Londonderry Chapel,Bonnie Doon Stake,2,3,35,60,Londonderry Ward,1,180,60,No
94,Bearspaw Chapel,Bonnie Doon Stake,2,0,20,45,Southgate Ward,1,95,89,No
95,Gateway Stake Centre,Gateway Stake,7,7,46,60,Rio Vista Ward,1,219,60,No
96,Gateway Stake Centre,Gateway Stake,1,1,15,55,Crawford Plains Ward,2,236,55,No
97,Riverbend Stake Centre,Riverbend Stake,2,0,20,45,Rutherford Ward,1,13,45,No
98,Bearspaw Chapel,Gateway Stake,46,0,15,45,Lee Ridge Ward,1,15,45,No
99,Londonderry Chapel,Bonnie Doon Stake,2,2,19,45,Londonderry Ward,1,198,35,No
100,Coronation Park Chapel,Edmonton North Stake,1,0,30,47,Stony Plain Ward,2,155,-32.88349515,No
101,Gateway Stake Centre,Gateway Stake,2,0,35,70,Crawford Plains Ward,1,134,67,No
102,Londonderry Chapel,Bonnie Doon Stake,2,0,4,10,Londonderry Ward,1,0,-32.88349515,No
103,North Stake Centre,Edmonton North Stake,2,4,23,50,Griesbach Ward,1,203,50,No
104,Londonderry Chapel,Bonnie Doon Stake,2,0,12,50,Clareview Ward,1,180,63,No
105,Londonderry Chapel,Bonnie Doon Stake,1,3,7,30,Londonderry Ward,1,7,30,No
106,Riverbend Stake Centre,Riverbend Stake,2,0,40,60,Greenfield Ward,1,20,65,No
107,Coronation Park Chapel,Bonnie Doon Stake,2,2,72,45,Coronation Park Ward,3,63,81,No
108,North Stake Centre,Edmonton North Stake,1,2,22,60,Griesbach Ward,1,150,45,No
109,Bonnie Doon Stake Centre,Bonnie Doon Stake,3,1,40,60,Connors Hill Ward,1,160,44,No
110,Gateway Stake Centre,Gateway Stake,2,3,20,60,Crawford Plains Ward,2,194,60,No
111,Bonnie Doon Stake Centre,Bonnie Doon Stake,1,0,33,45,Forest Heights Ward,2,130,45,No
112,Riverbend Stake Centre,Riverbend Stake,1,2,18,40,Rutherford Ward,1,14,40,No
113,Gateway Stake Centre,Gateway Stake,2,0,17,40,Silver Berry Ward,1,170,40,No
114,Riverbend Stake Centre,Riverbend Stake,2,1,12,15,Rutherford Ward,1,12,40,No
115,North Stake Centre,Edmonton North Stake,3,0,17,45,Griesbach Ward,1,13,60,No
116,Gateway Stake Centre,Gateway Stake,2,0,37,15,Crawford Plains Ward,4,520,54,No
117,North Stake Centre,Edmonton North Stake,2,0,12,100,Namao Ward,1,175,95,No
118,Riverbend Stake Centre,Riverbend Stake,2,2,10,10,Rabbit Hill Ward,1,70,28,No
119,Riverbend Stake Centre,Riverbend Stake,1,3,50,60,Terwillegar Park Ward,1,38,65,No
120,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,10,30,Connors Hill Ward,1,136,30,No
121,Riverbend Stake Centre,Riverbend Stake,4,0,23,45,Greenfield Ward,1,192,60,No
122,North Stake Centre,Edmonton North Stake,1,3,15,60,Griesbach Ward,1,14,60,No
123,North Stake Centre,Edmonton North Stake,1,3,7,40,Griesbach Ward,1,90,40,No
124,Gateway Stake Centre,Gateway Stake,1,0,16,30,Crawford Plains Ward,1,135,30,No
125,Gateway Stake Centre,Gateway Stake,1,2,28,35,Ellerslie Ward,1,203,35,No
126,Londonderry Chapel,Bonnie Doon Stake,1,2,12,20,Londonderry Ward,1,110,25,No
127,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,25,60,Connors Hill Ward,1,249,60,No
128,Bearspaw Chapel,Gateway Stake,19,2,15,55,Lee Ridge Ward,1,158,70,No
129,Bearspaw Chapel,Gateway Stake,7,0,17,40,Lee Ridge Ward,1,170,42,No
130,Gateway Stake Centre,Gateway Stake,2,2,9,20,Crawford Plains Ward,1,138,20,No
131,Riverbend Stake Centre,Riverbend Stake,4,1,15,15,Rabbit Hill Ward,1,80,15,No
132,Bearspaw Chapel,Gateway Stake,3,3,55,47,Blackmud Creek Ward,1,165,47,No
133,Gateway Stake Centre,Gateway Stake,3,2,30,40,Crawford Plains Ward,2,256,40,No
134,Gateway Stake Centre,Gateway Stake,3,1,40,100,Silver Berry Ward,2,419,100,No
135,North Stake Centre,Edmonton North Stake,2,2,15,60,Griesbach Ward,1,106,50,No
136,Coronation Park Chapel,Bonnie Doon Stake,2,2,35,75,Coronation Park Ward,2,144,74,No
137,Gateway Stake Centre,Gateway Stake,2,1,11,60,Silver Berry Ward,2,11,60,No
138,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,16,40,Forest Heights Ward,1,125,40,No
139,Gateway Stake Centre,Gateway Stake,1,2,32,35,Lee Ridge Ward,1,173,35,No
140,North Stake Centre,Edmonton North Stake,2,0,18,55,Griesbach Ward,1,90,55,No
141,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,4,32,45,Forest Heights Ward,1,200,73,No
142,Coronation Park Chapel,Bonnie Doon Stake,3,0,18,45,Coronation Park Ward,1,143,45,No
143,Riverbend Stake Centre,Riverbend Stake,2,0,44,70,Terwillegar Park Ward,1,285,75,No
144,Gateway Stake Centre,Gateway Stake,2,3,30,60,Crawford Plains Ward,2,23,75,No
145,Gateway Stake Centre,Gateway Stake,3,2,30,40,Ellerslie Ward,1,210,45,No
146,Bearspaw Chapel,Gateway Stake,2,0,35,60,Blackmud Creek Ward,1,148,120,No
147,Riverbend Stake Centre,Riverbend Stake,2,0,44,60,Rutherford Ward,2,446,60,No
148,Londonderry Chapel,Bonnie Doon Stake,1,2,35,45,Londonderry Ward,1,200,-32.88349515,No
149,Coronation Park Chapel,Bonnie Doon Stake,3,1,117,45,Coronation Park Ward,4,403,90,No
150,North Stake Centre,Edmonton North Stake,2,0,30,105,Griesbach Ward,3,356,105,No
151,Londonderry Chapel,Bonnie Doon Stake,2,2,40,70,Clareview Ward,2,200,70,No
152,Londonderry Chapel,Bonnie Doon Stake,2,0,3,3,Clareview Ward,1,0,-32.88349515,No
153,Gateway Stake Centre,Gateway Stake,2,0,30,55,Silver Berry Ward,1,174,55,No
154,Bearspaw Chapel,Gateway Stake,4,3,26,30,Lee Ridge Ward,1,148,36,No
155,Riverbend Stake Centre,Riverbend Stake,1,1,24,90,Terwillegar Park Ward,1,170,90,No
156,Riverbend Stake Centre,Riverbend Stake,2,0,70,90,Terwillegar Park Ward,1,312,108,No
157,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,3,20,60,Forest Heights Ward,1,120,60,No
158,Gateway Stake Centre,Gateway Stake,1,0,26,40,Ellerslie Ward,2,191,36,No
159,Gateway Stake Centre,Gateway Stake,2,1,23,32,Crawford Plains Ward,1,195,32,No
160,Londonderry Chapel,Bonnie Doon Stake,2,0,15,30,Clareview Ward,1,121,38,No
161,Gateway Stake Centre,Gateway Stake,2,3,13,15,Crawford Plains Ward,1,115,30,No
162,Gateway Stake Centre,Gateway Stake,1,2,20,50,Ellerslie Ward,2,260,50,No
163,Bonnie Doon Stake Centre,Bonnie Doon Stake,1,1,18,45,Forest Heights Ward,1,125,36,No
164,Gateway Stake Centre,Gateway Stake,2,1,36,40,Lee Ridge Ward,1,145,44,No
165,Bearspaw Chapel,Bonnie Doon Stake,5,1,6,15,Southgate Ward,1,40,60,No
166,Gateway Stake Centre,Gateway Stake,2,2,35,60,Ellerslie Ward,1,214,60,No
167,Gateway Stake Centre,Gateway Stake,2,0,6,15,Crawford Plains Ward,1,168,15,No
168,North Stake Centre,Edmonton North Stake,3,2,43,60,Griesbach Ward,2,40,60,No
169,Riverbend Stake Centre,Riverbend Stake,3,1,19,40,Terwillegar Park Ward,1,150,50,No
170,North Stake Centre,Edmonton North Stake,2,1,10,52,Griesbach Ward,1,120,52,No
171,Riverbend Stake Centre,Riverbend Stake,2,1,48,44,Greenfield Ward,2,208,44,No
172,Bonnie Doon Stake Centre,Bonnie Doon Stake,4,0,42,60,Forest Heights Ward,2,194,96,No
173,Riverbend Stake Centre,Riverbend Stake,1,2,40,30,Woodbend Ward,1,220,30,No
174,Londonderry Chapel,Bonnie Doon Stake,1,1,30,60,Londonderry Ward,1,100,-32.88349515,No
175,Londonderry Chapel,Bonnie Doon Stake,1,5,25,45,,1,25,-32.88349515,No
176,Coronation Park Chapel,Bonnie Doon Stake,2,1,55,110,Coronation Park Ward,2,0,98,No
177,Bonnie Doon Stake Centre,Bonnie Doon Stake,1,1,40,150,Connors Hill Ward,2,180,95,No
178,Riverbend Stake Centre,Riverbend Stake,2,0,50,270,Greenfield Ward,1,210,83,No
179,Bearspaw Chapel,Gateway Stake,6,5,48,49,Blackmud Creek Ward,1,162,42,No
180,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,2,17,51,Forest Heights Ward,1,75,54,No
181,Riverbend Stake Centre,Riverbend Stake,2,2,65,90,Rutherford Ward,2,650,70,No
182,Bearspaw Chapel,Gateway Stake,2,2,15,60,Blackmud Creek Ward,1,100,75,No
183,Gateway Stake Centre,Gateway Stake,2,3,31,50,Silver Berry Ward,1,180,50,No
184,Londonderry Chapel,Bonnie Doon Stake,2,0,6,35,Clareview Ward,1,110,65,No
185,Londonderry Chapel,Bonnie Doon Stake,1,0,30,75,Londonderry Ward,2,250,-32.88349515,No
186,Coronation Park Chapel,Bonnie Doon Stake,4,0,37,45,Coronation Park Ward,2,0,100,No
187,Bearspaw Chapel,Bonnie Doon Stake,2,1,10,30,Strathcona Married Student Ward,1,90,45,No
188,Londonderry Chapel,Bonnie Doon Stake,4,0,17,30,Londonderry Ward,1,17,-32.88349515,No
189,Gateway Stake Centre,Gateway Stake,2,2,34,28,Ellerslie Ward,1,203,28,No
190,Riverbend Stake Centre,Riverbend Stake,1,1,15,15,Woodbend Ward,1,8,15,No
191,Gateway Stake Centre,Gateway Stake,24,0,14,24,Crawford Plains Ward,2,146,24,No
192,Riverbend Stake Centre,Riverbend Stake,3,0,52,80,Rabbit Hill Ward,2,313,67,No
193,Gateway Stake Centre,Gateway Stake,2,3,50,90,Crawford Plains Ward,3,460,90,No
194,Coronation Park Chapel,Bonnie Doon Stake,2,2,37,57,Coronation Park Ward,1,0,57,No
195,North Stake Centre,Edmonton North Stake,2,0,23,30,Griesbach Ward,1,20,30,No
196,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,3,28,57,Forest Heights Ward,2,200,57,No
197,North Stake Centre,Edmonton North Stake,2,2,19,30,Griesbach Ward,1,100,30,No
198,Riverbend Stake Centre,Riverbend Stake,2,0,15,40,Woodbend Ward,1,80,88,No
199,Riverbend Stake Centre,Riverbend Stake,2,3,27,60,Greenfield Ward,1,21,60,No
200,Bearspaw Chapel,Bonnie Doon Stake,2,2,9,60,Southgate Ward,1,150,60,No
201,Gateway Stake Centre,Gateway Stake,2,3,30,35,Lee Ridge Ward,1,30,35,No
202,Riverbend Stake Centre,Riverbend Stake,1,5,70,60,Woodbend Ward,1,350,60,No
203,Bearspaw Chapel,Gateway Stake,2,20,20,60,Blackmud Creek Ward,1,147,60,No
204,Gateway Stake Centre,Gateway Stake,2,4,14,30,Ellerslie Ward,1,190,31,No
205,Gateway Stake Centre,Gateway Stake,2,0,38,90,Silver Berry Ward,1,243,90,No
206,Bearspaw Chapel,YSA Stake,1,2,50,60,Windsor Park YSA Ward,2,110,58,No
207,Coronation Park Chapel,Bonnie Doon Stake,1,1,15,60,Coronation Park Ward,1,100,-660,No
208,Gateway Stake Centre,Gateway Stake,2,0,6,19,Crawford Plains Ward,2,136,18,No
209,Riverbend Stake Centre,Riverbend Stake,2,1,35,30,Woodbend Ward,1,179,65,No
210,Riverbend Stake Centre,Riverbend Stake,2,0,8,20,Greenfield Ward,1,150,30,No
211,Gateway Stake Centre,Gateway Stake,2,4,25,34,Ellerslie Ward,1,198,34,No
212,Londonderry Chapel,Bonnie Doon Stake,1,0,38,90,Clareview Ward,2,300,114,No
213,Londonderry Chapel,Bonnie Doon Stake,2,0,28,45,Londonderry Ward,1,185,-32.88349515,No
214,North Stake Centre,Edmonton North Stake,2,1,21,45,Griesbach Ward,2,150,45,No
215,Riverbend Stake Centre,Riverbend Stake,1,1,30,45,Rabbit Hill Ward,1,158,40,No
216,Riverbend Stake Centre,Riverbend Stake,2,1,46,60,Greenfield Ward,1,220,60,No
217,Gateway Stake Centre,Gateway Stake,2,1,25,45,Silver Berry Ward,1,230,45,No
218,Gateway Stake Centre,Gateway Stake,2,1,40,60,Ellerslie Ward,1,228,53,No
219,Bearspaw Chapel,Bonnie Doon Stake,1,2,31,60,Southgate Ward,1,143,55,No
220,Bearspaw Chapel,Gateway Stake,2,4,24,40,Lee Ridge Ward,1,169,40,No
221,Gateway Stake Centre,Gateway Stake,2,0,8,30,Crawford Plains Ward,1,144,30,No
222,North Stake Centre,Edmonton North Stake,2,1,17,60,Griesbach Ward,1,50,75,No
223,Gateway Stake Centre,Gateway Stake,2,4,40,37,Ellerslie Ward,1,207,-32.88349515,No
224,Riverbend Stake Centre,Riverbend Stake,2,0,44,80,Greenfield Ward,1,200,80,No
225,Bonnie Doon Stake Centre,Bonnie Doon Stake,1,0,19,60,Connors Hill Ward,2,280,-657,No
226,Gateway Stake Centre,Gateway Stake,2,0,25,30,Crawford Plains Ward,1,150,10,No
227,North Stake Centre,Edmonton North Stake,1,3,30,75,Griesbach Ward,1,100,-645,No
228,Bearspaw Chapel,Gateway Stake,4,0,24,40,Lee Ridge Ward,1,155,45,No
229,Riverbend Stake Centre,Riverbend Stake,2,4,45,120,Greenfield Ward,1,45,109,No
230,Riverbend Stake Centre,Riverbend Stake,2,1,80,70,Rabbit Hill Ward,2,400,100,No
231,Gateway Stake Centre,Gateway Stake,2,0,24,60,Silver Berry Ward,1,220,-660,No
232,Gateway Stake Centre,Gateway Stake,1,2,32,60,Crawford Plains Ward,2,215,-660,No
233,North Stake Centre,Edmonton North Stake,1,0,5,30,Griesbach Ward,1,40,30,No
234,Londonderry Chapel,Bonnie Doon Stake,2,4,22,20,Clareview Ward,1,0,-687,No
235,Riverbend Stake Centre,Riverbend Stake,3,0,14,30,Rutherford Ward,1,159,40,No
236,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,14,45,Strathcona Married Student Ward,1,110,35,No
237,Riverbend Stake Centre,Riverbend Stake,3,1,34,60,Terwillegar Park Ward,1,150,96,No
238,Riverbend Stake Centre,Riverbend Stake,2,0,12,35,Rutherford Ward,1,159,25,No
239,North Stake Centre,Edmonton North Stake,1,4,22,60,Namao Ward,1,236,90,No
240,Riverbend Stake Centre,Riverbend Stake,2,2,35,30,Rutherford Ward,1,207,30,No
241,North Stake Centre,Edmonton North Stake,1,5,16,30,Griesbach Ward,1,120,30,No
242,Londonderry Chapel,Bonnie Doon Stake,1,4,40,60,Clareview Ward,2,400,-32.88349515,No
243,Bearspaw Chapel,Bonnie Doon Stake,4,0,8,45,Southgate Ward,1,80,60,No
244,Gateway Stake Centre,Gateway Stake,2,3,23,58,Lee Ridge Ward,1,23,58,No
245,Bonnie Doon Stake Centre,Bonnie Doon Stake,1,3,11,30,Forest Heights Ward,2,170,-690,No
246,Gateway Stake Centre,Gateway Stake,3,1,28,30,Crawford Plains Ward,1,123,30,No
247,Riverbend Stake Centre,Riverbend Stake,4,0,25,60,Terwillegar Park Ward,1,100,-660,No
248,North Stake Centre,Edmonton North Stake,3,0,16,30,Griesbach Ward,1,75,30,No
249,Riverbend Stake Centre,Riverbend Stake,2,2,30,25,Greenfield Ward,1,196,30,No
250,Gateway Stake Centre,Gateway Stake,1,3,32,52,Crawford Plains Ward,2,200,52,No
251,Gateway Stake Centre,Gateway Stake,1,1,120,70,Crawford Plains Ward,6,900,-643,No
252,Gateway Stake Centre,Gateway Stake,2,3,40,90,Crawford Plains Ward,3,380,90,No
253,Coronation Park Chapel,Bonnie Doon Stake,2,0,44,60,Coronation Park Ward,2,266,60,No
254,Londonderry Chapel,Bonnie Doon Stake,2,0,16,60,Clareview Ward,1,100,-655,No
255,Bearspaw Chapel,Gateway Stake,2,1,20,50,Lee Ridge Ward,1,158,-675,No
256,Gateway Stake Centre,Gateway Stake,1,1,25,35,Crawford Plains Ward,1,26,-685,No
257,Londonderry Chapel,Bonnie Doon Stake,2,2,39,60,Londonderry Ward,1,0,-32.88349515,No
258,Gateway Stake Centre,Gateway Stake,2,1,44,60,Lee Ridge Ward,1,168,-649,No
259,Gateway Stake Centre,Gateway Stake,2,3,24,60,Crawford Plains Ward,1,128,60,No
260,Bearspaw Chapel,Bonnie Doon Stake,2,1,25,45,Southgate Ward,2,256,50,No
261,Bearspaw Chapel,Gateway Stake,2,0,44,75,Lee Ridge Ward,1,125,85,No
262,Bearspaw Chapel,Gateway Stake,2,3,22,35,Lee Ridge Ward,2,207,32,No
263,Gateway Stake Centre,Gateway Stake,2,0,20,55,Lee Ridge Ward,1,25,55,No
264,Gateway Stake Centre,Gateway Stake,2,2,67,100,Ellerslie Ward,3,501,100,No
265,Bearspaw Chapel,Bonnie Doon Stake,2,5,15,25,Southgate Ward,1,115,-636,No
266,Gateway Stake Centre,Gateway Stake,2,0,36,60,Crawford Plains Ward,2,140,-647,No
267,Gateway Stake Centre,Gateway Stake,2,1,16,30,Crawford Plains Ward,1,114,21,No
268,Gateway Stake Centre,Gateway Stake,3,1,18,23,Ellerslie Ward,1,180,23,No
269,Gateway Stake Centre,Gateway Stake,2,0,27,40,Crawford Plains Ward,2,267,40,No
270,Bearspaw Chapel,Gateway Stake,3,3,37,60,Blackmud Creek Ward,1,206,50,No
271,Bearspaw Chapel,Bonnie Doon Stake,2,0,12,60,Southgate Ward,1,0,60,No
272,Londonderry Chapel,Bonnie Doon Stake,3,0,150,120,Clareview Ward,4,450,65,No
273,Gateway Stake Centre,Gateway Stake,3,1,28,27,Ellerslie Ward,1,184,27,No
274,Londonderry Chapel,Bonnie Doon Stake,1,2,25,45,Clareview Ward,1,135,-32.88349515,No
275,North Stake Centre,Edmonton North Stake,1,0,7,45,Griesbach Ward,1,40,-675,No
276,Gateway Stake Centre,Gateway Stake,2,0,28,90,Silver Berry Ward,2,460,90,No
277,Gateway Stake Centre,Gateway Stake,2,0,17,60,Silver Berry Ward,1,153,-665,No
278,Londonderry Chapel,Bonnie Doon Stake,1,2,20,60,Clareview Ward,1,110,-613,No
279,Gateway Stake Centre,Gateway Stake,2,4,59,105,Silver Berry Ward,2,492,-615,No
280,Gateway Stake Centre,Gateway Stake,2,0,17,60,Silver Berry Ward,1,235,78,No
281,Riverbend Stake Centre,Riverbend Stake,2,1,100,90,Rabbit Hill Ward,3,482,137,No
282,Gateway Stake Centre,Gateway Stake,2,3,65,65,Ellerslie Ward,3,65,65,No
283,Gateway Stake Centre,Gateway Stake,26,3,25,35,Ellerslie Ward,1,19,-687,No
284,Londonderry Chapel,Bonnie Doon Stake,2,0,15,20,Londonderry Ward,1,50,-32.88349515,No
285,Riverbend Stake Centre,Riverbend Stake,2,0,19,65,Rutherford Ward,1,174,65,No
286,Londonderry Chapel,Bonnie Doon Stake,1,2,20,20,Clareview Ward,1,0,-641,No
287,Gateway Stake Centre,Gateway Stake,2,2,36,35,Silver Berry Ward,1,216,35,No
288,North Stake Centre,Edmonton North Stake,1,1,14,60,Griesbach Ward,1,135,70,No
289,Gateway Stake Centre,Gateway Stake,2,2,60,80,Silver Berry Ward,2,366,-620,No
290,Londonderry Chapel,Bonnie Doon Stake,3,1,30,60,Clareview Ward,1,0,-32.88349515,No
291,Londonderry Chapel,Bonnie Doon Stake,2,0,35,75,Londonderry Ward,3,75,-665,No
292,Gateway Stake Centre,Gateway Stake,1,2,24,30,Silver Berry Ward,1,244,28,No
293,Londonderry Chapel,Bonnie Doon Stake,2,2,60,60,Clareview Ward,3,165,-32.88349515,No
294,North Stake Centre,Edmonton North Stake,1,3,30,35,Namao Ward,1,272,35,No
295,Riverbend Stake Centre,Riverbend Stake,2,8,200,240,Rabbit Hill Ward,8,1420,120,No
296,Bearspaw Chapel,Gateway Stake,2,2,20,45,Beaumont Ward,2,200,-610,No
297,Gateway Stake Centre,Gateway Stake,2,3,25,40,Crawford Plains Ward,1,60,38,No
298,Bearspaw Chapel,Gateway Stake,1,4,30,45,Lee Ridge Ward,1,160,-675,No
299,Bearspaw Chapel,Gateway Stake,2,4,18,45,Blackmud Creek Ward,1,154,45,No
300,North Stake Centre,Edmonton North Stake,2,4,80,110,Griesbach Ward,5,500,-615,No
301,Bearspaw Chapel,Gateway Stake,1,1,20,60,Lee Ridge Ward,1,161,-665,No
302,Gateway Stake Centre,Gateway Stake,3,5,66,115,Silver Berry Ward,3,654,-593,No
303,Riverbend Stake Centre,Riverbend Stake,2,0,20,60,Woodbend Ward,1,137,60,No
304,Bearspaw Chapel,Bonnie Doon Stake,2,4,45,90,Southgate Ward,2,0,-655,No
305,Londonderry Chapel,Bonnie Doon Stake,1,1,12,60,Londonderry Ward,1,0,45,No
306,Londonderry Chapel,Bonnie Doon Stake,1,0,55,180,Clareview Ward,1,225,-32.88349515,No
307,Gateway Stake Centre,Gateway Stake,1,2,17,40,Crawford Plains Ward,1,113,50,No
308,Bearspaw Chapel,Gateway Stake,2,3,50,45,Blackmud Creek Ward,1,240,45,No
309,Bearspaw Chapel,Gateway Stake,1,1,23,30,Lee Ridge Ward,1,0,30,No
310,Gateway Stake Centre,Gateway Stake,2,3,30,62,Ellerslie Ward,1,200,63,No
311,Londonderry Chapel,Bonnie Doon Stake,2,0,5,15,Londonderry Ward,1,218,-32.88349515,No
312,Bearspaw Chapel,Gateway Stake,2,1,21,35,Lee Ridge Ward,1,139,32,No
